timestamp,BWB_2_HeatMeter_ReturnTemperature_C,BWB_2_HeatMeter_Power_Watt,BWB_2_HeatMeter_VolumeFlow_m3_per_hour,BWB_2_HeatMeter_FlowTemperature_Ce,BWB_2_HeatMeter_TemperatureDifference_K
13-Apr-19 2:15:00 AM CEST,50.00,253400.00,4.43,100.00,49.70
13-Apr-19 2:30:00 AM CEST,50.00,257900.00,4.47,100.00,50.20
13-Apr-19 2:45:00 AM CEST,49.00,260200.00,4.38,101.00,51.60
13-Apr-19 3:00:00 AM CEST,49.00,262100.00,4.36,101.00,52.30
13-Apr-19 3:15:00 AM CEST,49.00,266700.00,4.43,102.00,52.30
13-Apr-19 3:30:00 AM CEST,49.00,266700.00,4.43,102.00,52.30
13-Apr-19 3:45:00 AM CEST,49.00,266700.00,4.43,102.00,52.30
13-Apr-19 4:00:00 AM CEST,49.00,265000.00,4.40,102.00,52.30
13-Apr-19 4:15:00 AM CEST,49.00,261300.00,4.34,102.00,52.40
13-Apr-19 4:30:00 AM CEST,49.00,261300.00,4.34,102.00,52.40
13-Apr-19 4:45:00 AM CEST,50.00,250600.00,4.23,102.00,51.40
13-Apr-19 5:00:00 AM CEST,49.00,271000.00,4.46,102.00,52.80
13-Apr-19 5:15:00 AM CEST,49.00,271000.00,4.46,102.00,52.80
13-Apr-19 5:30:00 AM CEST,49.00,263300.00,4.33,102.00,52.90
13-Apr-19 5:45:00 AM CEST,49.00,272300.00,4.48,102.00,52.80
13-Apr-19 6:00:00 AM CEST,49.00,266500.00,4.39,102.00,52.80
13-Apr-19 6:15:00 AM CEST,49.00,266500.00,4.39,102.00,52.80
13-Apr-19 6:30:00 AM CEST,50.00,296000.00,4.93,102.00,52.20
13-Apr-19 6:45:00 AM CEST,50.00,296000.00,4.93,102.00,52.20
13-Apr-19 7:00:00 AM CEST,50.00,296000.00,4.93,102.00,52.20
13-Apr-19 7:15:00 AM CEST,50.00,261600.00,4.49,101.00,50.70
13-Apr-19 7:30:00 AM CEST,50.00,261600.00,4.49,101.00,50.70
13-Apr-19 7:45:00 AM CEST,50.00,261600.00,4.49,101.00,50.70
13-Apr-19 8:00:00 AM CEST,50.00,261600.00,4.49,101.00,50.70
13-Apr-19 8:15:00 AM CEST,50.00,261600.00,4.49,101.00,50.70
13-Apr-19 8:30:00 AM CEST,50.00,261600.00,4.49,101.00,50.70
13-Apr-19 8:45:00 AM CEST,50.00,261600.00,4.49,101.00,50.70
13-Apr-19 9:00:00 AM CEST,49.00,275600.00,5.10,96.00,47.00
13-Apr-19 9:15:00 AM CEST,49.00,275600.00,5.10,96.00,47.00
13-Apr-19 9:30:00 AM CEST,49.00,275600.00,5.10,96.00,47.00
13-Apr-19 9:45:00 AM CEST,51.00,262700.00,5.15,96.00,44.40
13-Apr-19 10:00:00 AM CEST,51.00,275200.00,5.31,96.00,45.10
13-Apr-19 10:15:00 AM CEST,51.00,275200.00,5.31,96.00,45.10
13-Apr-19 10:30:00 AM CEST,51.00,247900.00,5.02,94.00,42.90
13-Apr-19 10:45:00 AM CEST,50.00,264000.00,5.28,94.00,43.50
13-Apr-19 11:00:00 AM CEST,50.00,248100.00,4.90,94.00,44.00
13-Apr-19 11:15:00 AM CEST,50.00,248100.00,4.90,94.00,44.00
13-Apr-19 11:30:00 AM CEST,50.00,248100.00,4.90,94.00,44.00
13-Apr-19 11:45:00 AM CEST,50.00,248100.00,4.90,94.00,44.00
13-Apr-19 12:00:00 PM CEST,50.00,248100.00,4.90,94.00,44.00
13-Apr-19 12:15:00 PM CEST,50.00,248100.00,4.90,94.00,44.00
13-Apr-19 12:30:00 PM CEST,50.00,248100.00,4.90,94.00,44.00
13-Apr-19 12:45:00 PM CEST,50.00,248100.00,4.90,94.00,44.00
13-Apr-19 1:00:00 PM CEST,50.00,248100.00,4.90,94.00,44.00
13-Apr-19 1:15:00 PM CEST,50.00,221300.00,4.10,97.00,47.00
13-Apr-19 1:30:00 PM CEST,50.00,221300.00,4.10,97.00,47.00
13-Apr-19 1:45:00 PM CEST,50.00,221300.00,4.10,97.00,47.00
13-Apr-19 2:00:00 PM CEST,49.00,318400.00,5.56,98.00,49.80
13-Apr-19 2:15:00 PM CEST,49.00,318400.00,5.56,98.00,49.80
13-Apr-19 2:30:00 PM CEST,49.00,318400.00,5.56,98.00,49.80
13-Apr-19 2:45:00 PM CEST,49.00,318400.00,5.56,98.00,49.80
13-Apr-19 3:00:00 PM CEST,49.00,318400.00,5.56,98.00,49.80
13-Apr-19 3:15:00 PM CEST,49.00,318400.00,5.56,98.00,49.80
13-Apr-19 3:30:00 PM CEST,49.00,318400.00,5.56,98.00,49.80
13-Apr-19 3:45:00 PM CEST,0.00,0.00,0.00,0.00,67196.31
13-Apr-19 4:00:00 PM CEST,59.00,208200.00,4.82,97.00,37.70
13-Apr-19 4:15:00 PM CEST,55.00,240200.00,5.06,97.00,41.40
13-Apr-19 4:30:00 PM CEST,48.00,211900.00,3.78,97.00,48.70
13-Apr-19 4:45:00 PM CEST,59.00,168300.00,3.70,98.00,39.60
13-Apr-19 5:00:00 PM CEST,59.00,205100.00,4.66,98.00,38.40
13-Apr-19 5:15:00 PM CEST,55.00,344400.00,7.01,97.00,42.80
13-Apr-19 5:30:00 PM CEST,56.00,126600.00,2.66,97.00,41.50
13-Apr-19 5:45:00 PM CEST,57.00,288600.00,6.18,97.00,40.70
13-Apr-19 6:00:00 PM CEST,57.00,4800.00,0.10,98.00,40.80
13-Apr-19 6:15:00 PM CEST,55.00,147700.00,2.96,99.00,43.40
13-Apr-19 6:30:00 PM CEST,56.00,418900.00,8.36,99.00,43.70
13-Apr-19 6:45:00 PM CEST,59.00,160600.00,3.42,99.00,41.00
13-Apr-19 7:00:00 PM CEST,0.00,0.00,0.00,0.00,0.00
13-Apr-19 7:15:00 PM CEST,54.00,48900.00,0.93,100.00,45.90
13-Apr-19 7:30:00 PM CEST,56.00,345500.00,6.94,100.00,43.40
13-Apr-19 7:45:00 PM CEST,54.00,406300.00,7.74,100.00,45.70
13-Apr-19 8:00:00 PM CEST,55.00,258600.00,5.01,100.00,44.90
13-Apr-19 8:15:00 PM CEST,57.00,215600.00,4.39,100.00,42.80
13-Apr-19 8:30:00 PM CEST,54.00,353200.00,6.73,100.00,45.70
13-Apr-19 8:45:00 PM CEST,55.00,371100.00,7.14,100.00,45.20
13-Apr-19 9:00:00 PM CEST,54.00,349000.00,6.65,100.00,45.70
13-Apr-19 9:15:00 PM CEST,55.00,394200.00,7.62,100.00,45.10
13-Apr-19 9:30:00 PM CEST,59.00,134700.00,2.89,100.00,40.70
13-Apr-19 9:45:00 PM CEST,50.00,206100.00,3.58,100.00,50.10
13-Apr-19 10:00:00 PM CEST,50.00,280400.00,4.96,100.00,49.10
13-Apr-19 10:15:00 PM CEST,49.00,208700.00,3.58,100.00,50.70
13-Apr-19 10:30:00 PM CEST,50.00,293500.00,5.12,100.00,49.80
13-Apr-19 10:45:00 PM CEST,50.00,293500.00,5.12,100.00,49.80
13-Apr-19 11:00:00 PM CEST,50.00,293500.00,5.12,100.00,49.80
13-Apr-19 11:15:00 PM CEST,50.00,293500.00,5.12,100.00,49.80
13-Apr-19 11:30:00 PM CEST,50.00,293500.00,5.12,100.00,49.80
13-Apr-19 11:45:00 PM CEST,0.00,0.00,0.00,0.00,0.00
14-Apr-19 12:00:00 AM CEST,50.00,279600.00,4.92,99.00,49.40
14-Apr-19 12:15:00 AM CEST,51.00,264700.00,4.80,99.00,48.00
14-Apr-19 12:30:00 AM CEST,50.00,264500.00,4.68,99.00,49.10
14-Apr-19 12:45:00 AM CEST,50.00,263800.00,4.58,100.00,50.00
14-Apr-19 1:00:00 AM CEST,49.00,262200.00,4.46,100.00,51.00
14-Apr-19 1:15:00 AM CEST,49.00,255400.00,4.36,100.00,50.90
14-Apr-19 1:30:00 AM CEST,49.00,259100.00,4.41,100.00,51.00
14-Apr-19 1:45:00 AM CEST,49.00,261800.00,4.42,100.00,51.40
14-Apr-19 2:00:00 AM CEST,49.00,252700.00,4.49,98.00,48.90
14-Apr-19 2:15:00 AM CEST,49.00,256900.00,4.49,98.00,49.70
14-Apr-19 2:30:00 AM CEST,48.00,331300.00,5.58,99.00,51.60
14-Apr-19 2:45:00 AM CEST,50.00,250300.00,4.35,100.00,50.00
14-Apr-19 3:00:00 AM CEST,49.00,254000.00,4.39,99.00,50.30
14-Apr-19 3:15:00 AM CEST,49.00,253600.00,4.42,98.00,49.90
14-Apr-19 3:30:00 AM CEST,49.00,254100.00,4.45,98.00,49.60
14-Apr-19 3:45:00 AM CEST,49.00,256500.00,4.50,98.00,49.60
14-Apr-19 4:00:00 AM CEST,49.00,253800.00,4.46,98.00,49.40
14-Apr-19 4:15:00 AM CEST,49.00,253000.00,4.45,98.00,49.40
14-Apr-19 4:30:00 AM CEST,49.00,252600.00,4.38,99.00,50.00
14-Apr-19 4:45:00 AM CEST,48.00,253700.00,4.34,99.00,50.70
14-Apr-19 5:00:00 AM CEST,50.00,237200.00,4.18,99.00,49.40
14-Apr-19 5:15:00 AM CEST,49.00,262000.00,4.58,99.00,49.80
14-Apr-19 5:30:00 AM CEST,49.00,264000.00,4.53,99.00,50.60
14-Apr-19 5:45:00 AM CEST,49.00,272700.00,4.67,99.00,50.70
14-Apr-19 6:00:00 AM CEST,49.00,271900.00,4.67,99.00,50.60
14-Apr-19 6:15:00 AM CEST,49.00,269100.00,4.62,99.00,50.60
14-Apr-19 6:30:00 AM CEST,49.00,275900.00,4.75,99.00,50.50
14-Apr-19 6:45:00 AM CEST,49.00,269200.00,4.74,98.00,49.40
14-Apr-19 7:00:00 AM CEST,51.00,259700.00,4.76,98.00,47.50
14-Apr-19 7:15:00 AM CEST,50.00,275100.00,4.94,98.00,48.40
14-Apr-19 7:30:00 AM CEST,49.00,276400.00,4.95,98.00,48.50
14-Apr-19 7:45:00 AM CEST,49.00,269100.00,4.81,98.00,48.60
